"Owner","Profile Name","City","Control vs Treatment","Date","Swipes","Likes","Matches","Comments","OwnerNum","ProfileNum","CityNum","ExpDay","DOW"
"Erin Smith","Brian Jensen","New York","Treatment","11/11/2023",8,4,2,2,2,13,20,42,"Saturday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/11/2023",8,1,2,0,2,13,30,42,"Saturday"
"Luka","Ethan Mitchell","San Francisco","Control","11/11/2023",0,0,0,0,4,15,30,42,"Saturday"
"Luka","Ethan Mitchell","New York","Treatment","11/11/2023",0,0,0,0,4,15,20,42,"Saturday"
"Erin Smith","Brian Jensen","New York","Treatment","11/12/2023",8,3,1,1,2,13,20,43,"Sunday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/12/2023",8,1,1,0,2,13,30,43,"Sunday"
"KT","Finn Richardson","New York","Control","11/12/2023",10,4,0,0,3,14,20,43,"Sunday"
"KT","Finn Richardson","San Francisco","Treatment","11/12/2023",10,0,2,1,3,14,30,43,"Sunday"
"Luka","Ethan Mitchell","San Francisco","Control","11/12/2023",20,1,0,0,4,15,30,43,"Sunday"
"Luka","Ethan Mitchell","New York","Treatment","11/12/2023",20,3,4,0,4,15,20,43,"Sunday"
"Erin Smith","Brian Jensen","New York","Treatment","11/13/2023",8,1,2,0,2,13,20,44,"Monday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/13/2023",8,2,1,0,2,13,30,44,"Monday"
"KT","Finn Richardson","New York","Control","11/13/2023",10,2,0,0,3,14,20,44,"Monday"
"KT","Finn Richardson","San Francisco","Treatment","11/13/2023",10,2,0,0,3,14,30,44,"Monday"
"Luka","Ethan Mitchell","San Francisco","Control","11/13/2023",10,0,1,0,4,15,30,44,"Monday"
"Luka","Ethan Mitchell","New York","Treatment","11/13/2023",10,6,0,1,4,15,20,44,"Monday"
"KT","Finn Richardson","New York","Control","11/14/2023",10,0,1,0,3,14,20,45,"Tuesday"
"KT","Finn Richardson","San Francisco","Treatment","11/14/2023",10,0,1,1,3,14,30,45,"Tuesday"
"Luka","Ethan Mitchell","New York","Treatment","11/14/2023",10,0,1,0,4,15,20,45,"Tuesday"
